PuzzleId,FEN,PreFlawFEN,FirstMove,PV,Themes,Rating
jqC5U,5R1Q/ppk5/2p5/8/P3n1PK/8/8/2r5 b - - 0 53,5R2/ppk4P/2p5/8/P3n1PK/8/8/2r5 w - - 1 53,h7h8q,c1h1,anastasiaMate endgame master mate mateIn1 oneMove,749
3NyQp,r1b2r2/pp2Nppk/3pn3/2p5/4R3/2P5/PP3PPP/2K2B1R w - - 2 20,r1b2r2/pp2Nppk/3p4/2p5/4Rn2/2P5/PP3PPP/2K2B1R b - - 1 19,f4e6,e4h4,anastasiaMate mate mateIn1 middlegame oneMove,718
NJXK7,4B1k1/5p1p/4bQp1/2r5/2P5/8/P3nPPK/R4R2 b - - 0 34,4B1k1/5p1p/4bQp1/2r5/2P5/8/P3nPPq/R4R1K w - - 0 34,h1h2,c5h5 f6h4 h5h4,anastasiaMate mate mateIn2 middlegame short,652
BI78E,r4rk1/5pp1/p1N1p3/1p1p2p1/PPnN4/2P2R2/6PP/5nK1 w - - 0 34,r4rk1/5pp1/p1N1p2p/1p1p2Q1/PPnN4/2P2R2/6PP/5nK1 b - - 0 33,h6g5,c6e7 g8h7 f3h3,anastasiaMate mate mateIn2 middlegame short,1023
ganMf,r2q1r2/1p1bNppk/p1nP1b2/8/5B2/8/PP2QPPP/2KR3R w - - 0 17,r2q1r1k/1p1bNppN/p1nP1b2/8/5B2/8/PP2QPPP/2KR3R b - - 0 16,h8h7,e2h5,anastasiaMate mate mateIn1 middlegame oneMove,1087
9Bf1o,r3r3/1R6/p4kp1/8/1BB1p3/4n1PK/PPP5/7R b - - 2 39,r3r3/1R6/p4kp1/8/1BB1p3/4n1P1/PPP3K1/7R w - - 1 39,g2h3,e8h8 b7h7 h8h7,anastasiaMate mate mateIn2 middlegame short,801
02242,r4rk1/1p3pp1/8/2p1pNP1/4PnR1/P7/1q5N/3R3K w - - 0 33,r4rk1/1p3pp1/8/2p1pNP1/4PnR1/P7/1B3q1N/3R3K b - - 1 32,f2b2,f5e7 g8h7 g4h4 f4h5 h4h5,anastasiaMate long mate mateIn3 middlegame,1018
qTKuY,r4r2/1pp1N1pk/p7/4b1p1/6P1/4P3/PPP2PP1/2KR4 w - - 0 19,r4r1k/1pp1N1pR/p7/4b1p1/6P1/4P3/PPP2PP1/2KR4 b - - 0 18,h8h7,d1h1 e5h2 h1h2,anastasiaMate endgame mate mateIn2 short,891
54MJj,r4rk1/pp3pp1/3pn3/2pN1R2/2P1P1p1/P2P2P1/1P6/R5K1 w - - 0 20,r4rk1/pp3pp1/3pn3/2pN1R1p/2P1P1Q1/P2P2P1/1P6/R5K1 b - - 0 19,h5g4,d5e7 g8h7 f5h5,anastasiaMate endgame kingsideAttack mate mateIn2 short,953
R819n,5rk1/1p3pp1/2p3p1/p3pNQ1/2b1P3/4R1P1/2q2PP1/2b3K1 w - - 0 30,5rk1/1p3ppp/2p3N1/p3pNQ1/2b1P3/4R1P1/2q2PP1/2b3K1 b - - 0 29,h7g6,f5e7 g8h7 g5h4,anastasiaMate kingsideAttack mate mateIn2 middlegame short,1184
i4gM5,5rk1/pp3pp1/6p1/3N4/3PP3/3bR3/pP1r2P1/R5K1 w - - 0 27,5rk1/pp3pp1/6p1/3N4/3PP3/3bR3/pPrN2P1/R5K1 b - - 2 26,c2d2,d5e7 g8h7 e3h3,anastasiaMate endgame mate mateIn2 short,942
OqQIW,r4rk1/5pp1/p2p4/1p1Nn3/1P2PR2/q7/6PP/1B1Q3K w - - 0 27,r4rk1/5pp1/p2p4/1p1Nn3/1P2PR2/P3q3/6PP/1B1Q3K b - - 4 26,e3a3,d5e7 g8h7 f4h4,anastasiaMate mate mateIn2 middlegame short,978
8msMx,4rr2/2p1N1pk/p1p2p2/4n1p1/P7/4R3/1P4PP/5R1K w - - 2 25,3r1r2/2p1N1pk/p1p2p2/4n1p1/P7/4R3/1P4PP/5R1K b - - 1 24,d8e8,e3h3,anastasiaMate endgame mate mateIn1 oneMove,956
8mNLa,k1r5/P3Rp2/8/5r2/7B/8/1P6/RK3n2 b - - 2 40,k1r5/P3Rp2/8/5rB1/8/8/1P6/RK3n2 w - - 1 40,g5h4,f1d2 b1a2 f5a5,anastasiaMate endgame mate mateIn2 short,978
lwD6h,6k1/p7/1pp5/7N/3rP2P/2P5/KP1n2P1/5R2 b - - 0 26,6k1/p7/1pp5/7N/3rP2P/2P5/nP1n2P1/1K3R2 w - - 2 26,b1a2,d4a4,anastasiaMate endgame mate mateIn1 oneMove,940
5bW6U,6rk/p1QR4/1p5p/4p1q1/2P1P3/P1P3B1/4nPPK/8 b - - 4 32,6rk/p1Q5/1p1R3p/4p1q1/2P1P3/P1P3B1/4nPPK/8 w - - 3 32,d6d7,g5h5 g3h4 h5h4,anastasiaMate endgame mate mateIn2 short,1092
GvQ0C,5rk1/3B1pp1/2N1p3/3p2p1/3P4/1rq1P1P1/5P1P/5QK1 w - - 1 28,5rk1/3B1pp1/2N1p3/3p2p1/3P4/1r2P1P1/3q1P1P/5QK1 b - - 0 27,d2c3,c6e7 g8h7 f1h3,anastasiaMate endgame mate mateIn2 short,875
f13i6,6k1/5p1p/8/Rpr5/4P3/3Bn1PK/P1P4P/8 b - - 2 37,6k1/5p1p/R7/1pr5/4P3/3Bn1PK/P1P4P/8 w - - 1 37,a6a5,c5h5,anastasiaMate endgame mate mateIn1 oneMove,497
uUdDm,8/pB3p1p/1p4pk/2q5/4P3/1P2nPPK/PQ5P/8 b - - 4 30,8/pB3p1p/1p4pk/2q5/4P3/1P2nPP1/PQ4KP/8 w - - 3 30,g2h3,c5h5,anastasiaMate endgame mate mateIn1 oneMove,630
uyDI2,4q3/1p2b3/p1n1N1rk/5B2/3P4/2N1P3/PP3K2/2R5 w - - 0 28,4q3/1p2b2k/p1n1N1rQ/5B2/3P4/2N1P3/PP3K2/2R5 b - - 0 27,h7h6,c1h1 e7h4 h1h4,anastasiaMate mate mateIn2 middlegame short,856
BbduX,r6r/pp3p2/2pp4/2b1pNk1/2B1P3/2PP4/PP2nPPP/R4R1K b - - 4 21,r6r/pp3p2/2pp4/2b1p1k1/2B1P3/2PPN3/PP2nPPP/R4R1K w - - 3 21,e3f5,h8h2 h1h2 a8h8 f5h6 h8h6,anastasiaMate attraction kingsideAttack long mate mateIn3 middlegame sacrifice,1166
uDlBT,5rk1/2p2pp1/1pN5/p3R3/r7/5P1P/6P1/4K2n w - - 0 34,5rk1/p1p2pp1/1pN5/4R3/r7/5P1P/6P1/4K2n b - - 9 33,a7a5,c6e7 g8h7 e5h5,anastasiaMate endgame mate mateIn2 short,852
DvSMO,r7/pp2N1pk/3p4/2p3B1/6R1/7P/PP4PK/3q1r2 w - - 0 26,r6k/pp2N1pQ/3p4/2p3B1/6R1/7P/PP4PK/3q1r2 b - - 0 25,h8h7,g4h4 d1h5 h4h5,anastasiaMate endgame mate mateIn2 short,492
ylPvW,6k1/5ppp/4r3/ppBp4/3P1P2/1PP1n1PK/P4R1P/8 b - - 2 29,6k1/5ppp/4r3/ppBp4/3P1P2/1PP1n1P1/P4RKP/8 w - - 1 29,g2h3,e6h6,anastasiaMate endgame mate mateIn1 oneMove,561
