pass	anchor_white	anchor_black	result	reason	plies	game_index	opening	seed	git_sha
probe	maia1100	maia700	white_win	adjudicated_eval	75	0	Italian Game	1	1df488a7
probe	maia700	maia1100	white_win	adjudicated_eval	51	1	Ruy Lopez	1	1df488a7
probe	maia1100	maia700	white_win	adjudicated_eval	36	2	Ruy Lopez, Morphy Defense	1	1df488a7
probe	maia700	maia1100	black_win	checkmate	27	3	Scotch Game	1	1df488a7
probe	maia1100	maia700	white_win	checkmate	67	4	Petrov Defense	1	1df488a7
probe	maia700	maia1100	black_win	checkmate	42	5	Four Knights Game	1	1df488a7
probe	maia1100	maia700	white_win	checkmate	68	6	Vienna Game	1	1df488a7
probe	maia700	maia1100	black_win	checkmate	39	7	King's Gambit	1	1df488a7
probe	maia1100	maia1500	draw	threefold_repetition	105	8	Sicilian Defense, Open	1	1df488a7
probe	maia1500	maia1100	white_win	adjudicated_eval	97	9	Sicilian Defense, Najdorf	1	1df488a7
probe	maia1100	maia1500	black_win	adjudicated_eval	39	10	Sicilian Defense, Dragon	1	1df488a7
probe	maia1500	maia1100	draw	ply_cap_draw	120	11	French Defense	1	1df488a7
probe	maia1100	maia1500	black_win	checkmate	55	12	French Defense, Advance	1	1df488a7
probe	maia1500	maia1100	white_win	adjudicated_eval	63	13	Caro-Kann Defense	1	1df488a7
probe	maia1100	maia1500	white_win	adjudicated_eval	48	14	Caro-Kann Defense, Advance	1	1df488a7
probe	maia1500	maia1100	white_win	adjudicated_eval	105	15	Scandinavian Defense	1	1df488a7
probe	maia1500	maia1900	white_win	adjudicated_eval	114	16	Pirc Defense	1	1df488a7
probe	maia1900	maia1500	white_win	checkmate	45	17	Modern Defense	1	1df488a7
probe	maia1500	maia1900	white_win	adjudicated_eval	118	18	Alekhine Defense	1	1df488a7
probe	maia1900	maia1500	draw	ply_cap_draw	120	19	Queen's Gambit Declined	1	1df488a7
probe	maia1500	maia1900	black_win	adjudicated_eval	47	20	Queen's Gambit Accepted	1	1df488a7
probe	maia1900	maia1500	white_win	adjudicated_eval	69	21	Slav Defense	1	1df488a7
probe	maia1500	maia1900	draw	threefold_repetition	62	22	King's Indian Defense	1	1df488a7
probe	maia1900	maia1500	white_win	adjudicated_eval	93	23	Nimzo-Indian Defense	1	1df488a7
probe	maia1900	maia2300	white_win	checkmate	49	24	Gruenfeld Defense	1	1df488a7
probe	maia2300	maia1900	white_win	adjudicated_eval	79	25	Queen's Indian Defense	1	1df488a7
probe	maia1900	maia2300	black_win	checkmate	38	26	Bogo-Indian Defense	1	1df488a7
probe	maia2300	maia1900	draw	ply_cap_draw	120	27	Dutch Defense	1	1df488a7
probe	maia1900	maia2300	black_win	adjudicated_eval	46	28	Benoni Defense	1	1df488a7
probe	maia2300	maia1900	black_win	checkmate	48	29	English Opening	1	1df488a7
probe	maia1900	maia2300	white_win	adjudicated_eval	77	30	English Opening, Reversed Sicilian	1	1df488a7
probe	maia2300	maia1900	black_win	adjudicated_eval	83	31	Reti Opening	1	1df488a7
probe	sf0	sf3	black_win	adjudicated_eval	41	32	London System	1	1df488a7
probe	sf3	sf0	white_win	adjudicated_eval	32	33	Italian Game	1	1df488a7
probe	sf0	sf3	draw	threefold_repetition	88	34	Ruy Lopez	1	1df488a7
probe	sf3	sf0	white_win	checkmate	68	35	Ruy Lopez, Morphy Defense	1	1df488a7
probe	sf0	sf3	black_win	checkmate	75	36	Scotch Game	1	1df488a7
probe	sf3	sf0	white_win	adjudicated_eval	34	37	Petrov Defense	1	1df488a7
probe	sf0	sf3	black_win	adjudicated_eval	38	38	Four Knights Game	1	1df488a7
probe	sf3	sf0	white_win	adjudicated_eval	44	39	Vienna Game	1	1df488a7
probe	sf3	sf5	black_win	adjudicated_eval	42	40	King's Gambit	1	1df488a7
probe	sf5	sf3	white_win	checkmate	81	41	Sicilian Defense, Open	1	1df488a7
probe	sf3	sf5	black_win	adjudicated_eval	102	42	Sicilian Defense, Najdorf	1	1df488a7
probe	sf5	sf3	black_win	adjudicated_eval	95	43	Sicilian Defense, Dragon	1	1df488a7
probe	sf3	sf5	white_win	adjudicated_eval	67	44	French Defense	1	1df488a7
probe	sf5	sf3	white_win	adjudicated_eval	90	45	French Defense, Advance	1	1df488a7
probe	sf3	sf5	draw	ply_cap_draw	120	46	Caro-Kann Defense	1	1df488a7
probe	sf5	sf3	white_win	adjudicated_eval	56	47	Caro-Kann Defense, Advance	1	1df488a7
probe	sf5	sf8	black_win	adjudicated_eval	69	48	Scandinavian Defense	1	1df488a7
probe	sf8	sf5	white_win	adjudicated_eval	53	49	Pirc Defense	1	1df488a7
probe	sf5	sf8	draw	ply_cap_draw	120	50	Modern Defense	1	1df488a7
probe	sf8	sf5	black_win	adjudicated_eval	57	51	Alekhine Defense	1	1df488a7
probe	sf5	sf8	white_win	adjudicated_eval	62	52	Queen's Gambit Declined	1	1df488a7
probe	sf8	sf5	white_win	adjudicated_eval	37	53	Queen's Gambit Accepted	1	1df488a7
probe	sf5	sf8	black_win	adjudicated_eval	42	54	Slav Defense	1	1df488a7
probe	sf8	sf5	white_win	adjudicated_eval	49	55	King's Indian Defense	1	1df488a7
probe	sf10	sf8	white_win	adjudicated_eval	85	56	Nimzo-Indian Defense	1	1df488a7
probe	sf8	sf10	black_win	adjudicated_eval	107	57	Gruenfeld Defense	1	1df488a7
probe	sf10	sf8	white_win	adjudicated_eval	55	58	Queen's Indian Defense	1	1df488a7
probe	sf8	sf10	black_win	adjudicated_eval	62	59	Bogo-Indian Defense	1	1df488a7
probe	sf10	sf8	draw	ply_cap_draw	120	60	Dutch Defense	1	1df488a7
probe	sf8	sf10	black_win	adjudicated_eval	76	61	Benoni Defense	1	1df488a7
probe	sf10	sf8	draw	ply_cap_draw	120	62	English Opening	1	1df488a7
probe	sf8	sf10	black_win	adjudicated_eval	79	63	English Opening, Reversed Sicilian	1	1df488a7
probe	maia1500	sf0	white_win	adjudicated_eval	66	64	Reti Opening	1	1df488a7
probe	sf0	maia1500	black_win	adjudicated_eval	69	65	London System	1	1df488a7
probe	maia1500	sf0	white_win	adjudicated_eval	23	66	Italian Game	1	1df488a7
probe	sf0	maia1500	black_win	adjudicated_eval	30	67	Ruy Lopez	1	1df488a7
probe	maia1500	sf0	black_win	checkmate	61	68	Ruy Lopez, Morphy Defense	1	1df488a7
probe	sf0	maia1500	black_win	adjudicated_eval	37	69	Scotch Game	1	1df488a7
probe	maia1500	sf0	white_win	adjudicated_eval	87	70	Petrov Defense	1	1df488a7
probe	sf0	maia1500	black_win	adjudicated_eval	36	71	Four Knights Game	1	1df488a7
probe	maia1100	sf0	white_win	adjudicated_eval	30	72	Vienna Game	1	1df488a7
probe	sf0	maia1100	black_win	adjudicated_eval	37	73	King's Gambit	1	1df488a7
probe	maia1100	sf0	white_win	adjudicated_eval	95	74	Sicilian Defense, Open	1	1df488a7
probe	sf0	maia1100	black_win	adjudicated_eval	32	75	Sicilian Defense, Najdorf	1	1df488a7
probe	maia1100	sf0	white_win	adjudicated_eval	15	76	Sicilian Defense, Dragon	1	1df488a7
probe	sf0	maia1100	black_win	checkmate	36	77	French Defense	1	1df488a7
probe	maia1100	sf0	white_win	adjudicated_eval	96	78	French Defense, Advance	1	1df488a7
probe	sf0	maia1100	black_win	adjudicated_eval	71	79	Caro-Kann Defense	1	1df488a7
probe	maia1900	sf3	white_win	adjudicated_eval	78	80	Caro-Kann Defense, Advance	1	1df488a7
probe	sf3	maia1900	draw	ply_cap_draw	120	81	Scandinavian Defense	1	1df488a7
probe	maia1900	sf3	white_win	adjudicated_eval	51	82	Pirc Defense	1	1df488a7
probe	sf3	maia1900	draw	ply_cap_draw	120	83	Modern Defense	1	1df488a7
probe	maia1900	sf3	white_win	adjudicated_eval	33	84	Alekhine Defense	1	1df488a7
probe	sf3	maia1900	black_win	adjudicated_eval	59	85	Queen's Gambit Declined	1	1df488a7
probe	maia1900	sf3	white_win	adjudicated_eval	43	86	Queen's Gambit Accepted	1	1df488a7
probe	sf3	maia1900	black_win	adjudicated_eval	101	87	Slav Defense	1	1df488a7
probe	maia1500	sf3	white_win	adjudicated_eval	37	88	King's Indian Defense	1	1df488a7
probe	sf3	maia1500	draw	ply_cap_draw	120	89	Nimzo-Indian Defense	1	1df488a7
probe	maia1500	sf3	white_win	adjudicated_eval	58	90	Gruenfeld Defense	1	1df488a7
probe	sf3	maia1500	draw	threefold_repetition	112	91	Queen's Indian Defense	1	1df488a7
probe	maia1500	sf3	draw	threefold_repetition	30	92	Bogo-Indian Defense	1	1df488a7
probe	sf3	maia1500	black_win	adjudicated_eval	42	93	Dutch Defense	1	1df488a7
probe	maia1500	sf3	white_win	adjudicated_eval	43	94	Benoni Defense	1	1df488a7
probe	sf3	maia1500	black_win	adjudicated_eval	50	95	English Opening	1	1df488a7
probe	maia2300	sf5	white_win	adjudicated_eval	59	96	English Opening, Reversed Sicilian	1	1df488a7
