bot_elo	bot_blend	anchor	games	wins	draws	losses	score	white_games	white_wins	white_draws	white_losses	white_score	black_games	black_wins	black_draws	black_losses	black_score	seed	max_nodes	max_plies	stockfish_procs	git_sha	skip_reason
1100	0	maia1700	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	a83dcd6e	out_of_window
1100	0	maia1900	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	a83dcd6e	out_of_window
1100	0	maia2100	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	a83dcd6e	out_of_window
1100	0	maia2300	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	a83dcd6e	out_of_window
1100	0	maia900	10	3	3	4	0.4500	5	1	2	2	0.4000	5	2	1	2	0.5000	1	50	8	4	a83dcd6e	
1100	0	maia700	10	2	1	7	0.2500	5	1	1	3	0.3000	5	1	0	4	0.2000	1	50	8	4	a83dcd6e	
1100	0	maia1100	10	1	0	9	0.1000	5	1	0	4	0.2000	5	0	0	5	0.0000	1	50	8	4	a83dcd6e	
1100	0	maia1300	10	4	0	6	0.4000	5	2	0	3	0.4000	5	2	0	3	0.4000	1	50	8	4	a83dcd6e	
1100	0	maia1500	10	0	0	10	0.0000	5	0	0	5	0.0000	5	0	0	5	0.0000	1	50	8	4	a83dcd6e	
1100	0.5	maia1700	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	a83dcd6e	out_of_window
1100	0.5	maia1900	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	a83dcd6e	out_of_window
1100	0.5	maia2100	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	a83dcd6e	out_of_window
1100	0.5	maia2300	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	a83dcd6e	out_of_window
1100	0.5	maia900	10	8	1	1	0.8500	5	4	0	1	0.8000	5	4	1	0	0.9000	1	50	8	4	a83dcd6e	
1100	0.5	maia700	10	10	0	0	1.0000	5	5	0	0	1.0000	5	5	0	0	1.0000	1	50	8	4	a83dcd6e	
1100	0.5	maia1100	10	7	2	1	0.8000	5	4	1	0	0.9000	5	3	1	1	0.7000	1	50	8	4	a83dcd6e	
1100	0.5	maia1300	10	7	3	0	0.8500	5	3	2	0	0.8000	5	4	1	0	0.9000	1	50	8	4	a83dcd6e	
1100	0.5	maia1500	10	4	4	2	0.6000	5	1	4	0	0.6000	5	3	0	2	0.6000	1	50	8	4	a83dcd6e	
