bot_elo	bot_blend	anchor	games	wins	draws	losses	score	white_games	white_wins	white_draws	white_losses	white_score	black_games	black_wins	black_draws	black_losses	black_score	seed	max_nodes	max_plies	stockfish_procs	git_sha	skip_reason	beyond_ladder	draw_rate	mean_game_length	acpl	blunder_rate	sf_agreement	maia_agreement
1500	0	maia700	8	0	3	5	0.1875	4	0	2	2	0.2500	4	0	1	3	0.1250	1	50	8	4	179d611b		true	0.3750	75.88	55.7	0.0503	0.3926	0.5728
1500	0	maia1100	8	5	0	3	0.6250	4	3	0	1	0.7500	4	2	0	2	0.5000	1	50	8	4	179d611b		true	0.0000	44.88	50.5	0.0514	0.4830	0.5978
1500	0	maia1500	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	179d611b	not_bracketed	true						
1500	0	maia1900	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	179d611b	not_bracketed	true						
1500	0	maia2300	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	179d611b	not_bracketed	true						
1500	0	sf0	8	4	0	4	0.5000	4	1	0	3	0.2500	4	3	0	1	0.7500	1	50	8	4	179d611b		true	0.0000	78.63	66.6	0.0581	0.2935	0.5048
1500	0	sf3	8	1	1	6	0.1875	4	0	1	3	0.1250	4	1	0	3	0.2500	1	50	8	4	179d611b		true	0.1250	66.38	60.1	0.0541	0.3089	0.5530
1500	0	sf5	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	179d611b	not_bracketed	true						
1500	0	sf8	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	179d611b	not_bracketed	true						
1500	0	sf10	8	0	0	8	0.0000	4	0	0	4	0.0000	4	0	0	4	0.0000	1	50	8	4	179d611b		true	0.0000	53.63	43.9	0.0190	0.3143	0.5000
1500	0.05	maia700	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	179d611b	not_bracketed	false						
1500	0.05	maia1100	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	179d611b	not_bracketed	false						
1500	0.05	maia1500	8	4	0	4	0.5000	4	1	0	3	0.2500	4	3	0	1	0.7500	1	50	8	4	179d611b		false	0.0000	64.25	41.9	0.0160	0.3810	0.3696
1500	0.05	maia1900	8	3	0	5	0.3750	4	1	0	3	0.2500	4	2	0	2	0.5000	1	50	8	4	179d611b		false	0.0000	83.13	49.6	0.0428	0.3963	0.3988
1500	0.05	maia2300	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	179d611b	not_bracketed	false						
1500	0.05	sf0	8	8	0	0	1.0000	4	4	0	0	1.0000	4	4	0	0	1.0000	1	50	8	4	179d611b		false	0.0000	44.25	40.0	0.0115	0.3966	0.4134
1500	0.05	sf3	8	4	1	3	0.5625	4	1	1	2	0.3750	4	3	0	1	0.7500	1	50	8	4	179d611b		false	0.1250	76.13	55.4	0.0500	0.3123	0.3289
1500	0.05	sf5	8	3	1	4	0.4375	4	3	0	1	0.7500	4	0	1	3	0.1250	1	50	8	4	179d611b		false	0.1250	74.25	42.5	0.0240	0.4027	0.3636
1500	0.05	sf8	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	179d611b	not_bracketed	false						
1500	0.05	sf10	8	0	0	8	0.0000	4	0	0	4	0.0000	4	0	0	4	0.0000	1	50	8	4	179d611b		false	0.0000	60.88	46.8	0.0210	0.3109	0.3430
