fen	san	score	site	c2_pass	best_es	second_best_es	maia_p_600	maia_p_1000	maia_p_1400	maia_p_1800	maia_p_2200	maia_p_2600	gem_600	gem_1000	gem_1400	gem_1800	gem_2200	gem_2600	analysis_url
rnbq1rk1/pp2bppp/1n2p3/4P3/3p1B2/2NB1N2/PP3PPP/R2QK2R w KQ - 0 10	Nxd4	3.1	https://lichess.org/9wsdg0GA	false	0.522078114090291	0.48895555679024805	0.3341571096655987	0.30943441888768775	0.636407570892046	0.68334976919633	0.6244962964297774	0.5866666040761354	false	false	false	false	false	false	https://flawchess.com/analysis?fen=rnbq1rk1%2Fpp2bppp%2F1n2p3%2F4P3%2F3p1B2%2F2NB1N2%2FPP3PPP%2FR2QK2R%20w%20KQ%20-%200%2010
r1b1kbnr/pp3ppp/2p3q1/2n1p1B1/3pP3/1B1P1N2/PPP2PPP/RN1Q1RK1 w kq - 3 9	Nxe5	3.1	https://lichess.org/AeHAHf6x	true	0.6524068491501985	0.5385849714102531	0.17046729257665497	0.10312996514751414	0.0911191089099292	0.11083177152319035	0.1730235252327087	0.3656343232043734	false	false	true	false	false	false	https://flawchess.com/analysis?fen=r1b1kbnr%2Fpp3ppp%2F2p3q1%2F2n1p1B1%2F3pP3%2F1B1P1N2%2FPPP2PPP%2FRN1Q1RK1%20w%20kq%20-%203%209
k6r/ppQ2ppp/1r6/3B1q2/8/1P6/P4PPP/2R3K1 w - - 13 31	Be4	3.1	https://lichess.org/Achqtknj	false	0.48067870579756605	0.44954372531791664	0.027612897484986337	0.0941381739744514	0.16805033114219578	0.22852447471032084	0.3183851384861468	0.44104369033400614	false	false	false	false	false	false	https://flawchess.com/analysis?fen=k6r%2FppQ2ppp%2F1r6%2F3B1q2%2F8%2F1P6%2FP4PPP%2F2R3K1%20w%20-%20-%2013%2031
6k1/2q2pp1/Q2np2p/P2p1b2/3P4/1P2P1P1/5P1P/5BK1 b - - 4 29	Qc1	3.1	https://lichess.org/e8xm6J0a	false	0.7524995800919415	0.7203693739005184	0.04067050391149889	0.034838565593398936	0.028806947236411678	0.05718343603645438	0.15031713297435348	0.19080850594020998	false	false	false	false	false	false	https://flawchess.com/analysis?fen=6k1%2F2q2pp1%2FQ2np2p%2FP2p1b2%2F3P4%2F1P2P1P1%2F5P1P%2F5BK1%20b%20-%20-%204%2029
3rr1k1/5ppp/pq2b3/1p2n3/3bP3/P2P1BBP/1P1Q2PK/2RN1R2 b - - 10 20	Nxd3	3.1	https://lichess.org/cYjYOKNB	false	0.7511255009383484	0.6834245628600051	0.011085332039927448	0.013166370409884184	0.028559206405459007	0.05564086872360916	0.10229144128296301	0.1586477324385653	false	false	false	false	false	false	https://flawchess.com/analysis?fen=3rr1k1%2F5ppp%2Fpq2b3%2F1p2n3%2F3bP3%2FP2P1BBP%2F1P1Q2PK%2F2RN1R2%20b%20-%20-%2010%2020
r1bqk1nr/ppp2ppp/2np4/3NP3/2B5/5N2/PP1KQPPP/R6R w kq - 1 13	Nxc7+	3.1	https://lichess.org/nyCF9CmL	true	0.7371063102310783	0.6338176636011208	0.023396724968454043	0.010079909899570928	0.03415921133017645	0.0661036042117541	0.07253335374385278	0.044260053731676116	true	true	true	true	true	true	https://flawchess.com/analysis?fen=r1bqk1nr%2Fppp2ppp%2F2np4%2F3NP3%2F2B5%2F5N2%2FPP1KQPPP%2FR6R%20w%20kq%20-%201%2013
2nr3k/1q2b1pp/1P1p1p2/1Q2p3/4P3/3nBN2/5PPP/1R4K1 b - - 6 28	d5	3.1	https://lichess.org/kDxvE514	false	0.6689139863954203	0.6312501413084699	0.058807847379780016	0.06642960915284732	0.033001717730689085	0.014963516155023088	0.008997497588436185	0.008543121173417958	false	false	false	false	false	false	https://flawchess.com/analysis?fen=2nr3k%2F1q2b1pp%2F1P1p1p2%2F1Q2p3%2F4P3%2F3nBN2%2F5PPP%2F1R4K1%20b%20-%20-%206%2028
Q7/5ppk/1PN2n1p/8/p1q5/5P1P/6PK/8 w - - 2 42	b7	3.1	https://lichess.org/gXREKk8w	false	0.5	0.5	0.7574975614614016	0.763078627419986	0.7801679237653537	0.7001816863212865	0.4940920869014898	0.289385825489932	false	false	false	false	false	false	https://flawchess.com/analysis?fen=Q7%2F5ppk%2F1PN2n1p%2F8%2Fp1q5%2F5P1P%2F6PK%2F8%20w%20-%20-%202%2042
2rqrbk1/pb3ppp/1p2n3/3pN3/3P1P2/2N3BP/PP1Q2P1/R3R1K1 b - - 0 19	Nxd4	3.1	https://lichess.org/GHMxOi4w	false	0.6507349938882695	0.5531881623684916	0.037643685762650474	0.02512192610521336	0.039468656273972336	0.17294037284496844	0.5556042401900182	0.719514682164172	false	false	false	false	false	false	https://flawchess.com/analysis?fen=2rqrbk1%2Fpb3ppp%2F1p2n3%2F3pN3%2F3P1P2%2F2N3BP%2FPP1Q2P1%2FR3R1K1%20b%20-%20-%200%2019
r6k/pp3P1p/2ppBqn1/4b3/8/8/PPPQ1P2/R5RK w - - 2 30	Qh6	3.1	https://lichess.org/cxF5NQDh	false	0.5658919665398462	0.5	0.2011950075170053	0.2035365930916565	0.15113843800330926	0.13092903972712175	0.16696049277103722	0.1468056098155337	false	false	false	false	false	false	https://flawchess.com/analysis?fen=r6k%2Fpp3P1p%2F2ppBqn1%2F4b3%2F8%2F8%2FPPPQ1P2%2FR5RK%20w%20-%20-%202%2030
rnbq1rk1/pp1pbppp/4p1n1/4P3/3N1PQ1/2N5/PP4PP/2KR1B1R b - - 0 11	Nxf4	3.1	https://lichess.org/MTAnMevM	false	0.8190097461263064	0.8089768011390678	0.012949915661807442	0.01854910386504125	0.05022560528687695	0.10706103682017959	0.19787631528195507	0.06377902890170357	false	false	false	false	false	false	https://flawchess.com/analysis?fen=rnbq1rk1%2Fpp1pbppp%2F4p1n1%2F4P3%2F3N1PQ1%2F2N5%2FPP4PP%2F2KR1B1R%20b%20-%20-%200%2011
r1bq1rk1/pppp1ppp/2n2n2/8/4P3/P1BQ4/1PP2PPP/R3KBNR b KQ - 0 8	Nxe4	3.1	https://lichess.org/hMXmFyLd	true	0.6338176636011208	0.531256867324871	0.02276017058726158	0.052557484600231665	0.1784016627291123	0.39650756496134104	0.7213271544801775	0.7460233459187877	true	true	false	false	false	false	https://flawchess.com/analysis?fen=r1bq1rk1%2Fpppp1ppp%2F2n2n2%2F8%2F4P3%2FP1BQ4%2F1PP2PPP%2FR3KBNR%20b%20KQ%20-%200%208
r1bq1rk1/p1p3pp/2p2P2/2bp4/8/4PPP1/PPPQ3P/RN2K1NR b KQ - 0 11	Bxe3	3.1	https://lichess.org/tp3WESpu	false	0.7672760967619577	0.6936887774077353	0.002655432973151488	0.0026736607792937498	0.013807450757292752	0.03789282067863773	0.06517095103439688	0.07923570011589083	false	false	false	false	false	false	https://flawchess.com/analysis?fen=r1bq1rk1%2Fp1p3pp%2F2p2P2%2F2bp4%2F8%2F4PPP1%2FPPPQ3P%2FRN2K1NR%20b%20KQ%20-%200%2011
4rr2/6kp/p3pnp1/1pNb4/2pP1q2/6R1/PP3PP1/1B1QR1K1 b - - 5 27	Nh5	3.1	https://lichess.org/mUbU1Tv8	false	0.7757138412629945	0.6810298210979692	0.2095042650214416	0.30207541415416056	0.4201464923427924	0.5074123556667588	0.5230690864755927	0.4517629933116979	false	false	false	false	false	false	https://flawchess.com/analysis?fen=4rr2%2F6kp%2Fp3pnp1%2F1pNb4%2F2pP1q2%2F6R1%2FPP3PP1%2F1B1QR1K1%20b%20-%20-%205%2027
1k1r1nr1/pp1bbp1p/4p2p/4P3/1Pp1B1q1/P4NP1/4QP2/R1B1R1K1 w - - 2 21	Be3	3.1	https://lichess.org/29GFXcWX	false	0.5101243359708437	0.5	0.036457193975685816	0.03193830063748349	0.029445189847109688	0.024740762376137183	0.020603850251016527	0.01812099988594629	false	false	false	false	false	false	https://flawchess.com/analysis?fen=1k1r1nr1%2Fpp1bbp1p%2F4p2p%2F4P3%2F1Pp1B1q1%2FP4NP1%2F4QP2%2FR1B1R1K1%20w%20-%20-%202%2021
r5k1/pp1n2p1/2pb1q1p/8/5PQ1/3b3P/PP3P2/R1BN2KR b - - 0 22	Re8	3.1	https://lichess.org/0C1yCdV5	false	0.6183032245766588	0.6156928792462818	0.13046446860802513	0.15720335624303128	0.17042937672235103	0.16747727103605317	0.16657404881066185	0.1811367468165126	false	false	false	false	false	false	https://flawchess.com/analysis?fen=r5k1%2Fpp1n2p1%2F2pb1q1p%2F8%2F5PQ1%2F3b3P%2FPP3P2%2FR1BN2KR%20b%20-%20-%200%2022
6k1/Pq3ppp/2p3n1/2BpP3/B2P4/3Q2P1/1r3PKP/8 w - - 3 36	Bxc6	3.1	https://lichess.org/DJYqKoan	false	0.8779967148318241	0.8630716599681828	0.24937304171949798	0.20252174795744998	0.14840815926899684	0.1098122121707239	0.06244106509887625	0.03354398434748652	false	false	false	false	false	false	https://flawchess.com/analysis?fen=6k1%2FPq3ppp%2F2p3n1%2F2BpP3%2FB2P4%2F3Q2P1%2F1r3PKP%2F8%20w%20-%20-%203%2036
