rating_bucket,game_id,platform_url,played_date,time_control,result,outcome,leader_color,leader_rating,opponent_rating,leader_inaccuracies,leader_mistakes,leader_blunders,opponent_inaccuracies,opponent_mistakes,opponent_blunders
800,17684,https://lichess.org/jYj3JK8e,2025-07-16,blitz,1-0,leader_wins,white,1162,973,0,2,0,2,0,2
800,815367,https://lichess.org/2JIUjYY5,2025-08-14,rapid,0-1,leader_wins,black,982,822,3,0,0,3,4,0
800,22086,https://lichess.org/JsH4TVLy,2026-04-19,blitz,0-1,leader_wins,black,972,947,3,0,0,2,2,1
800,734041,https://lichess.org/cMCIGiVQ,2025-05-22,blitz,1-0,leader_loses,black,700,812,1,0,0,5,0,1
800,26831,https://lichess.org/Cn3en9kT,2025-12-17,blitz,0-1,leader_wins,black,916,930,0,0,1,3,1,2
800,2213,https://lichess.org/dpt3p9Js,2026-03-13,blitz,1-0,leader_wins,white,923,989,1,1,0,7,2,0
800,2491,https://lichess.org/6INvq5Ka,2025-09-10,blitz,0-1,leader_wins,black,930,1000,1,0,0,3,1,1
800,98690,https://lichess.org/ErOtC77d,2025-12-27,rapid,1-0,leader_wins,white,999,972,0,0,0,1,1,1
800,808211,https://lichess.org/SnHOaKs8,2026-03-12,rapid,0-1,leader_wins,black,857,851,0,0,1,2,3,1
800,17576,https://lichess.org/GQN4Hibl,2025-08-08,blitz,0-1,leader_wins,black,993,1074,0,0,0,2,1,1
800,84764,https://lichess.org/nmp7WZ21,2026-03-28,classical,1-0,leader_wins,white,952,910,2,0,3,1,0,3
800,714977,https://lichess.org/9gmPDnix,2025-12-08,blitz,1-0,leader_wins,white,820,814,1,1,1,2,0,2
800,15719,https://lichess.org/7vqQBkOr,2025-08-06,blitz,0-1,leader_wins,black,785,702,2,0,1,3,0,1
800,717519,https://lichess.org/dvlD8jvD,2026-03-12,blitz,1-0,leader_wins,white,934,960,4,0,0,5,1,1
800,818850,https://lichess.org/6xltRTVx,2026-04-10,rapid,0-1,leader_wins,black,851,941,2,0,0,3,0,2
800,4617,https://lichess.org/qArH2pMt,2026-02-22,blitz,0-1,leader_loses,white,867,885,0,1,0,3,1,2
800,17873,https://lichess.org/7uVXFdwW,2025-06-10,blitz,0-1,leader_wins,black,910,880,5,0,0,1,2,2
800,17521,https://lichess.org/KiDevhCf,2025-08-18,blitz,1-0,leader_wins,white,960,902,1,0,1,1,0,1
800,828825,https://lichess.org/muXgtYPk,2026-03-12,rapid,0-1,leader_loses,white,794,867,2,2,2,6,2,3
