bot_elo	bot_blend	anchor	games	wins	draws	losses	score	white_games	white_wins	white_draws	white_losses	white_score	black_games	black_wins	black_draws	black_losses	black_score	seed	max_nodes	max_plies	stockfish_procs	git_sha	skip_reason	beyond_ladder	draw_rate	mean_game_length	acpl	blunder_rate	sf_agreement	maia_agreement
1100	0.5	maia700	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1100	0.5	maia1100	24	21	3	0	0.9375	12	11	1	0	0.9583	12	10	2	0	0.9167	1	50	8	4	562bdd84		false	0.1250	69.08	37.7	0.0173	0.4616	0.4424
1100	0.5	maia1500	24	19	1	4	0.8125	12	10	0	2	0.8333	12	9	1	2	0.7917	1	50	8	4	562bdd84		false	0.0417	67.88	40.7	0.0151	0.4486	0.4078
1100	0.5	maia1900	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1100	0.5	maia2300	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1100	0.5	sf0	8	8	0	0	1.0000	4	4	0	0	1.0000	4	4	0	0	1.0000	1	50	8	4	562bdd84		false	0.0000	43.13	38.5	0.0000	0.3964	0.4310
1100	0.5	sf3	24	23	1	0	0.9792	12	12	0	0	1.0000	12	11	1	0	0.9583	1	50	8	4	562bdd84		false	0.0417	59.00	35.7	0.0086	0.3711	0.3399
1100	0.5	sf5	24	4	5	15	0.2708	12	2	4	6	0.3333	12	2	1	9	0.2083	1	50	8	4	562bdd84		false	0.2083	77.04	47.9	0.0209	0.3396	0.3265
1100	0.5	sf8	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1100	0.5	sf10	8	0	1	7	0.0625	4	0	0	4	0.0000	4	0	1	3	0.1250	1	50	8	4	562bdd84		false	0.1250	81.75	45.0	0.0093	0.2848	0.3200
1500	0.5	maia700	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
