pass	bot_elo	bot_blend	anchor	result	reason	plies	game_index	bot_is_white	opening	seed	git_sha	bot_eval_count	cp_loss_sum	blunder_count	sf_comparable	sf_agree	maia_comparable	maia_agree
locate	1100	0.5	sf0	win	adjudicated_eval	33	0	1	Italian Game	1	562bdd84	16	495.00	0	16	7	17	10
locate	1100	0.5	sf0	win	adjudicated_eval	35	1	0	Ruy Lopez	1	562bdd84	17	899.00	0	17	11	18	9
locate	1100	0.5	sf0	win	adjudicated_eval	22	2	1	Ruy Lopez, Morphy Defense	1	562bdd84	11	103.00	0	11	7	11	5
locate	1100	0.5	sf0	win	adjudicated_eval	71	3	0	Scotch Game	1	562bdd84	35	1397.00	0	35	8	36	11
locate	1100	0.5	sf0	win	adjudicated_eval	30	4	1	Petrov Defense	1	562bdd84	14	229.00	0	14	7	15	8
locate	1100	0.5	sf0	win	adjudicated_eval	42	5	0	Four Knights Game	1	562bdd84	21	1353.00	0	21	7	21	10
locate	1100	0.5	sf0	win	adjudicated_eval	53	6	1	Vienna Game	1	562bdd84	26	852.00	0	26	9	26	8
locate	1100	0.5	sf0	win	adjudicated_eval	59	7	0	King's Gambit	1	562bdd84	29	1182.00	0	29	11	30	14
locate	1100	0.5	sf10	loss	adjudicated_eval	96	8	1	Sicilian Defense, Open	1	562bdd84	47	2186.00	0	47	12	48	11
locate	1100	0.5	sf10	loss	adjudicated_eval	59	9	0	Sicilian Defense, Najdorf	1	562bdd84	29	1260.00	0	29	7	29	6
locate	1100	0.5	sf10	loss	adjudicated_eval	44	10	1	Sicilian Defense, Dragon	1	562bdd84	21	1063.00	0	21	5	22	3
locate	1100	0.5	sf10	loss	adjudicated_eval	81	11	0	French Defense	1	562bdd84	40	1549.00	0	40	12	40	20
locate	1100	0.5	sf10	loss	adjudicated_eval	68	12	1	French Defense, Advance	1	562bdd84	34	2108.00	1	34	13	34	10
locate	1100	0.5	sf10	loss	checkmate	77	13	0	Caro-Kann Defense	1	562bdd84	38	1413.00	0	38	13	38	12
locate	1100	0.5	sf10	loss	checkmate	109	14	1	Caro-Kann Defense, Advance	1	562bdd84	54	2820.00	2	54	12	54	21
locate	1100	0.5	sf10	draw	ply_cap_draw	120	15	0	Scandinavian Defense	1	562bdd84	60	2122.00	0	60	18	60	21
measure	1100	0.5	maia1500	loss	adjudicated_eval	118	16	1	Pirc Defense	1	562bdd84	58	2743.00	2	58	21	59	20
measure	1100	0.5	maia1500	draw	ply_cap_draw	120	17	0	Modern Defense	1	562bdd84	60	1870.00	0	60	33	60	24
measure	1100	0.5	maia1500	win	checkmate	15	18	1	Alekhine Defense	1	562bdd84	6	254.00	0	7	2	8	4
measure	1100	0.5	maia1500	win	adjudicated_eval	88	19	0	Queen's Gambit Declined	1	562bdd84	44	1773.00	0	44	12	44	20
measure	1100	0.5	maia1500	win	checkmate	97	20	1	Queen's Gambit Accepted	1	562bdd84	47	2601.00	3	48	23	49	22
measure	1100	0.5	maia1500	win	adjudicated_eval	62	21	0	Slav Defense	1	562bdd84	31	534.00	0	31	14	31	11
measure	1100	0.5	maia1500	win	adjudicated_eval	79	22	1	King's Indian Defense	1	562bdd84	39	2814.00	0	39	18	40	21
measure	1100	0.5	maia1500	loss	adjudicated_eval	50	23	0	Nimzo-Indian Defense	1	562bdd84	25	1428.00	2	25	8	25	5
measure	1100	0.5	maia1500	win	checkmate	51	24	1	Gruenfeld Defense	1	562bdd84	24	1129.00	1	25	13	26	10
measure	1100	0.5	maia1500	win	checkmate	48	25	0	Queen's Indian Defense	1	562bdd84	23	867.00	0	24	14	24	13
measure	1100	0.5	maia1500	win	checkmate	41	26	1	Bogo-Indian Defense	1	562bdd84	19	534.00	0	20	6	21	6
measure	1100	0.5	maia1500	win	checkmate	56	27	0	Dutch Defense	1	562bdd84	27	724.00	0	28	14	28	11
measure	1100	0.5	maia1500	loss	adjudicated_eval	51	28	1	Benoni Defense	1	562bdd84	25	2135.00	0	25	7	26	4
measure	1100	0.5	maia1500	win	adjudicated_eval	62	29	0	English Opening	1	562bdd84	31	1162.00	0	31	16	31	13
measure	1100	0.5	maia1500	win	checkmate	55	30	1	English Opening, Reversed Sicilian	1	562bdd84	26	775.00	0	27	12	28	13
measure	1100	0.5	maia1500	win	checkmate	31	31	0	Reti Opening	1	562bdd84	14	606.00	1	15	7	16	6
measure	1100	0.5	maia1500	win	adjudicated_eval	112	32	1	London System	1	562bdd84	56	1794.00	0	56	25	56	20
measure	1100	0.5	maia1500	win	adjudicated_eval	64	33	0	Italian Game	1	562bdd84	32	560.00	0	32	11	32	16
measure	1100	0.5	maia1500	win	checkmate	102	34	1	Ruy Lopez	1	562bdd84	50	1249.00	0	51	26	51	18
measure	1100	0.5	maia1500	win	adjudicated_eval	95	35	0	Ruy Lopez, Morphy Defense	1	562bdd84	47	1413.00	1	47	27	48	26
measure	1100	0.5	maia1500	win	adjudicated_eval	113	36	1	Scotch Game	1	562bdd84	56	2083.00	0	56	28	56	27
measure	1100	0.5	maia1500	win	adjudicated_eval	70	37	0	Petrov Defense	1	562bdd84	35	964.00	0	35	17	35	16
measure	1100	0.5	maia1500	win	checkmate	21	38	1	Four Knights Game	1	562bdd84	9	593.00	1	10	6	11	4
measure	1100	0.5	maia1500	loss	adjudicated_eval	28	39	0	Vienna Game	1	562bdd84	13	1865.00	1	13	2	14	4
measure	1100	0.5	maia1100	win	checkmate	46	40	1	King's Gambit	1	562bdd84	22	593.00	0	23	16	23	11
measure	1100	0.5	maia1100	win	adjudicated_eval	92	41	0	Sicilian Defense, Open	1	562bdd84	46	2584.00	0	46	13	46	19
measure	1100	0.5	maia1100	win	adjudicated_eval	119	42	1	Sicilian Defense, Najdorf	1	562bdd84	59	1591.00	0	59	31	60	29
measure	1100	0.5	maia1100	win	adjudicated_eval	55	43	0	Sicilian Defense, Dragon	1	562bdd84	27	765.00	0	27	11	27	12
