bot_elo	bot_blend	anchor	games	wins	draws	losses	score	white_games	white_wins	white_draws	white_losses	white_score	black_games	black_wins	black_draws	black_losses	black_score	seed	max_nodes	max_plies	stockfish_procs	git_sha	skip_reason	beyond_ladder	draw_rate	mean_game_length	acpl	blunder_rate	sf_agreement	maia_agreement
700	0	maia700	24	4	0	20	0.1667	12	1	0	11	0.0833	12	3	0	9	0.2500	1	50	8	4	562bdd84		true	0.0000	39.13	80.3	0.0907	0.3202	0.5064
700	0	maia1100	24	2	0	22	0.0833	12	1	0	11	0.0833	12	1	0	11	0.0833	1	50	8	4	562bdd84		true	0.0000	40.58	70.5	0.0678	0.3114	0.4730
700	0	maia1500	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	true						
700	0	maia1900	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	true						
700	0	maia2300	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	true						
700	0	sf0	24	3	1	20	0.1458	12	0	1	11	0.0417	12	3	0	9	0.2500	1	50	8	4	562bdd84		true	0.0417	50.25	92.0	0.0939	0.2423	0.4033
700	0	sf3	24	0	0	24	0.0000	12	0	0	12	0.0000	12	0	0	12	0.0000	1	50	8	4	562bdd84		true	0.0000	40.67	86.4	0.0593	0.2754	0.4070
700	0	sf5	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	true						
700	0	sf8	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	true						
700	0	sf10	8	0	0	8	0.0000	4	0	0	4	0.0000	4	0	0	4	0.0000	1	50	8	4	562bdd84		true	0.0000	33.63	68.0	0.0382	0.1908	0.3684
1100	0	maia700	24	6	2	16	0.2917	12	4	0	8	0.3333	12	2	2	8	0.2500	1	50	8	4	562bdd84		true	0.0833	53.00	74.8	0.0853	0.3910	0.5331
1100	0	maia1100	24	3	1	20	0.1458	12	2	0	10	0.1667	12	1	1	10	0.1250	1	50	8	4	562bdd84		true	0.0417	48.33	69.7	0.0604	0.3819	0.5521
1100	0	maia1500	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	true						
1100	0	maia1900	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	true						
1100	0	maia2300	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	true						
1100	0	sf0	24	11	1	12	0.4792	12	5	1	6	0.4583	12	6	0	6	0.5000	1	50	8	4	562bdd84		true	0.0417	52.38	67.0	0.0520	0.3008	0.4849
1100	0	sf3	24	5	2	17	0.2500	12	4	0	8	0.3333	12	1	2	9	0.1667	1	50	8	4	562bdd84		true	0.0833	64.46	64.7	0.0501	0.3057	0.5117
1100	0	sf5	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	true						
1100	0	sf8	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	true						
1100	0	sf10	8	0	0	8	0.0000	4	0	0	4	0.0000	4	0	0	4	0.0000	1	50	8	4	562bdd84		true	0.0000	37.38	61.8	0.0347	0.3333	0.5101
1500	0	maia700	24	11	4	9	0.5417	12	5	1	6	0.4583	12	6	3	3	0.6250	1	50	8	4	562bdd84		false	0.1667	60.42	54.7	0.0496	0.4256	0.5917
1500	0	maia1100	24	4	1	19	0.1875	12	3	1	8	0.2917	12	1	0	11	0.0833	1	50	8	4	562bdd84		false	0.0417	52.13	57.3	0.0543	0.3918	0.5698
1500	0	maia1500	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1500	0	maia1900	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1500	0	maia2300	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1500	0	sf0	24	14	2	8	0.6250	12	8	1	3	0.7083	12	6	1	5	0.5417	1	50	8	4	562bdd84		false	0.0833	66.25	60.1	0.0522	0.3613	0.5503
1500	0	sf3	24	3	2	19	0.1667	12	3	1	8	0.2917	12	0	1	11	0.0417	1	50	8	4	562bdd84		false	0.0833	71.13	58.0	0.0418	0.2939	0.4953
1500	0	sf5	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1500	0	sf8	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1500	0	sf10	8	0	0	8	0.0000	4	0	0	4	0.0000	4	0	0	4	0.0000	1	50	8	4	562bdd84		false	0.0000	48.25	56.4	0.0321	0.3262	0.5026
1900	0	maia700	24	18	0	6	0.7500	12	9	0	3	0.7500	12	9	0	3	0.7500	1	50	8	4	562bdd84		false	0.0000	44.58	44.4	0.0425	0.4610	0.6287
1900	0	maia1100	24	15	0	9	0.6250	12	6	0	6	0.5000	12	9	0	3	0.7500	1	50	8	4	562bdd84		false	0.0000	54.96	45.3	0.0359	0.4363	0.6239
1900	0	maia1500	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1900	0	maia1900	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1900	0	maia2300	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1900	0	sf0	24	18	0	6	0.7500	12	9	0	3	0.7500	12	9	0	3	0.7500	1	50	8	4	562bdd84		false	0.0000	52.42	57.9	0.0536	0.3484	0.5753
1900	0	sf3	24	9	2	13	0.4167	12	6	0	6	0.5000	12	3	2	7	0.3333	1	50	8	4	562bdd84		false	0.0833	65.96	50.8	0.0386	0.3560	0.5619
