pass	bot_elo	bot_blend	anchor	result	reason	plies	game_index	bot_is_white	opening	seed	git_sha	bot_eval_count	cp_loss_sum	blunder_count	sf_comparable	sf_agree	maia_comparable	maia_agree
locate	700	0	sf0	draw	ply_cap_draw	120	0	1	Italian Game	1	562bdd84	59	3401.00	1	59	17	60	23
locate	700	0	sf0	loss	adjudicated_eval	44	1	0	Ruy Lopez	1	562bdd84	21	3035.00	4	21	6	22	5
locate	700	0	sf0	loss	adjudicated_eval	43	2	1	Ruy Lopez, Morphy Defense	1	562bdd84	21	1876.00	4	21	5	21	11
locate	700	0	sf0	loss	adjudicated_eval	23	3	0	Scotch Game	1	562bdd84	11	1198.00	1	11	1	12	7
locate	700	0	sf0	loss	adjudicated_eval	54	4	1	Petrov Defense	1	562bdd84	26	2800.00	3	26	4	27	6
locate	700	0	sf0	win	adjudicated_eval	53	5	0	Four Knights Game	1	562bdd84	26	1840.00	3	26	4	26	7
locate	700	0	sf0	loss	adjudicated_eval	61	6	1	Vienna Game	1	562bdd84	30	2640.00	3	30	8	30	12
locate	700	0	sf0	loss	adjudicated_eval	28	7	0	King's Gambit	1	562bdd84	13	1134.00	1	13	1	14	7
locate	700	0	sf10	loss	adjudicated_eval	54	8	1	Sicilian Defense, Open	1	562bdd84	26	1651.00	1	26	3	27	7
locate	700	0	sf10	loss	adjudicated_eval	37	9	0	Sicilian Defense, Najdorf	1	562bdd84	18	1193.00	0	18	4	18	9
locate	700	0	sf10	loss	adjudicated_eval	34	10	1	Sicilian Defense, Dragon	1	562bdd84	16	945.00	0	16	1	17	6
locate	700	0	sf10	loss	adjudicated_eval	25	11	0	French Defense	1	562bdd84	12	928.00	1	12	2	12	4
locate	700	0	sf10	loss	adjudicated_eval	12	12	1	French Defense, Advance	1	562bdd84	6	737.00	1	6	0	6	1
locate	700	0	sf10	loss	adjudicated_eval	47	13	0	Caro-Kann Defense	1	562bdd84	23	1324.00	0	23	5	23	9
locate	700	0	sf10	loss	adjudicated_eval	36	14	1	Caro-Kann Defense, Advance	1	562bdd84	18	1464.00	1	18	5	18	8
locate	700	0	sf10	loss	adjudicated_eval	24	15	0	Scandinavian Defense	1	562bdd84	12	665.00	1	12	5	12	5
measure	700	0	sf0	loss	adjudicated_eval	36	16	1	Pirc Defense	1	562bdd84	17	1791.00	1	17	2	18	5
measure	700	0	sf0	loss	adjudicated_eval	23	17	0	Modern Defense	1	562bdd84	11	1633.00	1	11	2	11	7
measure	700	0	sf0	loss	adjudicated_eval	44	18	1	Alekhine Defense	1	562bdd84	21	2476.00	3	21	5	22	9
measure	700	0	sf0	loss	adjudicated_eval	43	19	0	Queen's Gambit Declined	1	562bdd84	21	1449.00	1	21	4	21	9
measure	700	0	sf0	loss	adjudicated_eval	68	20	1	Queen's Gambit Accepted	1	562bdd84	33	2689.00	3	33	11	34	20
measure	700	0	sf0	loss	adjudicated_eval	11	21	0	Slav Defense	1	562bdd84	5	889.00	1	5	0	5	0
measure	700	0	sf0	loss	checkmate	58	22	1	King's Indian Defense	1	562bdd84	28	3704.00	5	28	6	29	11
measure	700	0	sf0	loss	adjudicated_eval	53	23	0	Nimzo-Indian Defense	1	562bdd84	26	1841.00	1	26	6	26	10
measure	700	0	sf0	loss	adjudicated_eval	68	24	1	Gruenfeld Defense	1	562bdd84	33	3046.00	2	33	11	34	15
measure	700	0	sf0	win	adjudicated_eval	62	25	0	Queen's Indian Defense	1	562bdd84	31	2086.00	2	31	9	31	14
measure	700	0	sf0	loss	adjudicated_eval	59	26	1	Bogo-Indian Defense	1	562bdd84	29	2264.00	1	29	8	30	8
measure	700	0	sf0	loss	checkmate	73	27	0	Dutch Defense	1	562bdd84	36	3394.00	5	36	13	36	14
measure	700	0	sf0	loss	adjudicated_eval	32	28	1	Benoni Defense	1	562bdd84	15	1766.00	3	15	2	16	7
measure	700	0	sf0	loss	adjudicated_eval	45	29	0	English Opening	1	562bdd84	22	2038.00	2	22	5	22	8
measure	700	0	sf0	loss	checkmate	20	30	1	English Opening, Reversed Sicilian	1	562bdd84	9	1557.00	3	9	1	10	6
measure	700	0	sf0	win	adjudicated_eval	85	31	0	Reti Opening	1	562bdd84	42	3371.00	1	42	11	43	21
measure	700	0	maia700	loss	adjudicated_eval	43	32	1	London System	1	562bdd84	21	1238.00	0	21	2	21	8
measure	700	0	maia700	loss	adjudicated_eval	11	33	0	Italian Game	1	562bdd84	5	703.00	1	5	0	5	0
measure	700	0	maia700	loss	adjudicated_eval	47	34	1	Ruy Lopez	1	562bdd84	23	1931.00	1	23	3	23	9
measure	700	0	maia700	loss	adjudicated_eval	36	35	0	Ruy Lopez, Morphy Defense	1	562bdd84	17	1479.00	1	17	3	18	8
measure	700	0	maia700	loss	adjudicated_eval	47	36	1	Scotch Game	1	562bdd84	23	3122.00	6	23	9	23	13
measure	700	0	maia700	loss	adjudicated_eval	58	37	0	Petrov Defense	1	562bdd84	29	2613.00	4	29	5	29	17
measure	700	0	maia700	loss	adjudicated_eval	47	38	1	Four Knights Game	1	562bdd84	23	1922.00	2	23	7	24	10
measure	700	0	maia700	loss	adjudicated_eval	36	39	0	Vienna Game	1	562bdd84	17	1062.00	1	17	7	18	12
measure	700	0	maia700	loss	adjudicated_eval	37	40	1	King's Gambit	1	562bdd84	18	1400.00	1	18	5	18	10
measure	700	0	maia700	loss	adjudicated_eval	33	41	0	Sicilian Defense, Open	1	562bdd84	16	1878.00	2	16	6	16	9
measure	700	0	maia700	loss	adjudicated_eval	23	42	1	Sicilian Defense, Najdorf	1	562bdd84	11	740.00	1	11	4	12	7
measure	700	0	maia700	win	checkmate	28	43	0	Sicilian Defense, Dragon	1	562bdd84	13	462.00	0	14	8	14	11
measure	700	0	maia700	win	checkmate	25	44	1	French Defense	1	562bdd84	11	692.00	1	12	6	13	7
measure	700	0	maia700	loss	adjudicated_eval	68	45	0	French Defense, Advance	1	562bdd84	33	3106.00	5	33	14	34	17
measure	700	0	maia700	loss	checkmate	32	46	1	Caro-Kann Defense	1	562bdd84	15	1718.00	1	15	5	16	7
measure	700	0	maia700	loss	adjudicated_eval	66	47	0	Caro-Kann Defense, Advance	1	562bdd84	32	1806.00	4	32	10	33	15
measure	700	0	maia700	loss	adjudicated_eval	28	48	1	Scandinavian Defense	1	562bdd84	13	943.00	1	13	5	14	6
measure	700	0	maia700	loss	adjudicated_eval	12	49	0	Pirc Defense	1	562bdd84	6	714.00	1	6	3	6	2
measure	700	0	maia700	loss	checkmate	36	50	1	Modern Defense	1	562bdd84	17	1320.00	1	17	4	18	7
measure	700	0	maia700	win	checkmate	36	51	0	Alekhine Defense	1	562bdd84	17	1242.00	1	18	7	18	9
measure	700	0	maia700	loss	adjudicated_eval	51	52	1	Queen's Gambit Declined	1	562bdd84	25	1351.00	1	25	7	26	14
measure	700	0	maia700	win	checkmate	40	53	0	Queen's Gambit Accepted	1	562bdd84	19	868.00	0	20	9	20	13
measure	700	0	maia700	loss	checkmate	44	54	1	Slav Defense	1	562bdd84	21	1520.00	1	21	8	22	12
measure	700	0	maia700	loss	adjudicated_eval	55	55	0	King's Indian Defense	1	562bdd84	27	2456.00	4	27	9	27	14
measure	700	0	sf3	loss	adjudicated_eval	66	56	1	Nimzo-Indian Defense	1	562bdd84	32	2268.00	1	32	9	33	16
measure	700	0	sf3	loss	adjudicated_eval	53	57	0	Gruenfeld Defense	1	562bdd84	26	2695.00	1	26	7	26	10
measure	700	0	sf3	loss	adjudicated_eval	67	58	1	Queen's Indian Defense	1	562bdd84	33	2309.00	2	33	4	34	19
measure	700	0	sf3	loss	adjudicated_eval	52	59	0	Bogo-Indian Defense	1	562bdd84	26	1477.00	1	26	5	26	8
measure	700	0	sf3	loss	adjudicated_eval	68	60	1	Dutch Defense	1	562bdd84	33	2778.00	1	33	6	34	13
measure	700	0	sf3	loss	adjudicated_eval	45	61	0	Benoni Defense	1	562bdd84	22	2856.00	2	22	7	22	9
measure	700	0	sf3	loss	adjudicated_eval	24	62	1	English Opening	1	562bdd84	11	1229.00	1	11	2	12	5
measure	700	0	sf3	loss	adjudicated_eval	25	63	0	English Opening, Reversed Sicilian	1	562bdd84	12	879.00	1	12	2	12	5
measure	700	0	sf3	loss	adjudicated_eval	30	64	1	Reti Opening	1	562bdd84	15	1067.00	1	15	4	15	4
measure	700	0	sf3	loss	adjudicated_eval	12	65	0	London System	1	562bdd84	5	829.00	1	5	0	6	2
measure	700	0	sf3	loss	adjudicated_eval	26	66	1	Italian Game	1	562bdd84	12	1157.00	2	12	2	13	4
measure	700	0	sf3	loss	adjudicated_eval	28	67	0	Ruy Lopez	1	562bdd84	13	1717.00	2	13	6	14	7
measure	700	0	sf3	loss	checkmate	39	68	1	Ruy Lopez, Morphy Defense	1	562bdd84	19	1804.00	1	19	8	19	9
measure	700	0	sf3	loss	adjudicated_eval	19	69	0	Scotch Game	1	562bdd84	9	996.00	0	9	1	10	3
measure	700	0	sf3	loss	adjudicated_eval	50	70	1	Petrov Defense	1	562bdd84	24	1837.00	2	24	13	25	8
