bot_elo	bot_blend	anchor	games	wins	draws	losses	score	white_games	white_wins	white_draws	white_losses	white_score	black_games	black_wins	black_draws	black_losses	black_score	seed	max_nodes	max_plies	stockfish_procs	git_sha	skip_reason	beyond_ladder	draw_rate	mean_game_length	acpl	blunder_rate	sf_agreement	maia_agreement
1100	0.05	maia700	24	22	1	1	0.9375	12	11	1	0	0.9583	12	11	0	1	0.9167	1	50	8	4	562bdd84		false	0.0417	55.04	46.7	0.0355	0.4487	0.3886
1100	0.05	maia1100	24	17	6	1	0.8333	12	10	2	0	0.9167	12	7	4	1	0.7500	1	50	8	4	562bdd84		false	0.2500	72.79	36.1	0.0245	0.4405	0.4237
1100	0.05	maia1500	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1100	0.05	maia1900	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1100	0.05	maia2300	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1100	0.05	sf0	24	17	0	7	0.7083	12	9	0	3	0.7500	12	8	0	4	0.6667	1	50	8	4	562bdd84		false	0.0000	59.42	53.5	0.0356	0.3433	0.3221
1100	0.05	sf3	24	12	2	10	0.5417	12	6	1	5	0.5417	12	6	1	5	0.5417	1	50	8	4	562bdd84		false	0.0833	63.71	56.7	0.0333	0.3178	0.3181
1100	0.05	sf5	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1100	0.05	sf8	0	0	0	0	0.0000	0	0	0	0	0.0000	0	0	0	0	0.0000	1	50	8	4	562bdd84	not_bracketed	false						
1100	0.05	sf10	8	0	0	8	0.0000	4	0	0	4	0.0000	4	0	0	4	0.0000	1	50	8	4	562bdd84		false	0.0000	39.38	62.3	0.0392	0.2745	0.3097
