pass	bot_elo	bot_blend	anchor	result	reason	plies	game_index	bot_is_white	opening	seed	git_sha	bot_eval_count	cp_loss_sum	blunder_count	sf_comparable	sf_agree	maia_comparable	maia_agree
locate	1100	0.05	sf0	win	adjudicated_eval	31	0	1	Italian Game	1	562bdd84	15	714.00	0	15	5	16	6
locate	1100	0.05	sf0	win	adjudicated_eval	43	1	0	Ruy Lopez	1	562bdd84	21	506.00	0	21	11	22	10
locate	1100	0.05	sf0	win	adjudicated_eval	77	2	1	Ruy Lopez, Morphy Defense	1	562bdd84	38	1658.00	1	38	16	38	13
locate	1100	0.05	sf0	win	adjudicated_eval	65	3	0	Scotch Game	1	562bdd84	32	2082.00	1	32	11	33	13
locate	1100	0.05	sf0	loss	adjudicated_eval	38	4	1	Petrov Defense	1	562bdd84	18	1128.00	1	18	4	19	6
locate	1100	0.05	sf0	loss	adjudicated_eval	39	5	0	Four Knights Game	1	562bdd84	19	1669.00	0	19	3	19	4
locate	1100	0.05	sf0	win	adjudicated_eval	68	6	1	Vienna Game	1	562bdd84	34	1331.00	1	34	11	34	8
locate	1100	0.05	sf0	win	adjudicated_eval	58	7	0	King's Gambit	1	562bdd84	28	683.00	0	28	13	29	15
locate	1100	0.05	sf10	loss	adjudicated_eval	40	8	1	Sicilian Defense, Open	1	562bdd84	19	1775.00	1	19	2	20	4
locate	1100	0.05	sf10	loss	adjudicated_eval	33	9	0	Sicilian Defense, Najdorf	1	562bdd84	16	660.00	1	16	5	16	5
locate	1100	0.05	sf10	loss	adjudicated_eval	26	10	1	Sicilian Defense, Dragon	1	562bdd84	12	940.00	1	12	1	13	3
locate	1100	0.05	sf10	loss	checkmate	25	11	0	French Defense	1	562bdd84	12	1074.00	1	12	4	12	5
locate	1100	0.05	sf10	loss	adjudicated_eval	51	12	1	French Defense, Advance	1	562bdd84	25	1276.00	0	25	8	25	9
locate	1100	0.05	sf10	loss	adjudicated_eval	66	13	0	Caro-Kann Defense	1	562bdd84	33	1329.00	0	33	9	33	11
locate	1100	0.05	sf10	loss	adjudicated_eval	27	14	1	Caro-Kann Defense, Advance	1	562bdd84	13	1354.00	1	13	4	13	3
locate	1100	0.05	sf10	loss	checkmate	47	15	0	Scandinavian Defense	1	562bdd84	23	1130.00	1	23	9	23	8
measure	1100	0.05	sf3	win	adjudicated_eval	55	16	1	Pirc Defense	1	562bdd84	27	1887.00	0	27	13	28	12
measure	1100	0.05	sf3	win	adjudicated_eval	88	17	0	Modern Defense	1	562bdd84	44	2154.00	1	44	11	44	16
measure	1100	0.05	sf3	win	adjudicated_eval	71	18	1	Alekhine Defense	1	562bdd84	35	1850.00	2	35	9	36	8
